timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708703709301,3297,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-83,,true,,2332,445,100,100,null,0,159,2386
1708703709460,3297,B_0-171,200,OK,Thread Group 1-83,text,true,,2332,445,100,100,https://blazedemo.com/,3290,0,2386
1708703707275,5403,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-42,,true,,2224,445,100,100,null,0,81,4494
1708703707356,5403,B_0-171,200,OK,Thread Group 1-42,text,true,,2224,445,100,100,https://blazedemo.com/,5402,0,4494
1708703705947,6595,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-14,,true,,2324,445,100,100,null,0,221,5676
1708703706168,6595,B_0-171,200,OK,Thread Group 1-14,text,true,,2324,445,100,100,https://blazedemo.com/,6594,0,5676
1708703706906,5792,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-30,,true,,2225,445,100,100,null,0,66,4881
1708703706972,5792,B_0-171,200,OK,Thread Group 1-30,text,true,,2225,445,100,100,https://blazedemo.com/,5779,0,4881
1708703705752,6513,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-11,,true,,2294,445,100,100,null,0,500,5594
1708703706252,6513,B_0-171,200,OK,Thread Group 1-11,text,true,,2294,445,100,100,https://blazedemo.com/,6512,0,5594
1708703705751,6507,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,2396,445,100,100,null,0,512,5598
1708703706260,6507,B_0-171,200,OK,Thread Group 1-10,text,true,,2396,445,100,100,https://blazedemo.com/,6174,0,5598
1708703707781,4948,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-53,,true,,2257,445,100,100,null,0,44,4025
1708703707410,5276,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-45,,true,,2224,445,100,100,null,0,87,4343
1708703707497,5276,B_0-171,200,OK,Thread Group 1-45,text,true,,2224,445,100,100,https://blazedemo.com/,5276,0,4343
1708703707825,4948,B_0-171,200,OK,Thread Group 1-53,text,true,,2257,445,100,100,https://blazedemo.com/,4947,0,4025
1708703710053,2664,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-96,,true,,2320,445,100,100,null,0,62,2229
1708703710114,2664,B_0-171,200,OK,Thread Group 1-96,text,true,,2320,445,100,100,https://blazedemo.com/,2662,0,2229
1708703707574,5088,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-48,,true,,2300,445,100,100,null,0,119,4156
1708703707692,5088,B_0-171,200,OK,Thread Group 1-48,text,true,,2300,445,100,100,https://blazedemo.com/,5083,0,4156
1708703708946,3774,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-74,,true,,2333,445,100,100,null,0,79,2833
1708703709024,3774,B_0-171,200,OK,Thread Group 1-74,text,true,,2333,445,100,100,https://blazedemo.com/,3774,0,2833
1708703708877,3867,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-73,,true,,2283,445,100,100,null,0,73,2899
1708703708950,3867,B_0-171,200,OK,Thread Group 1-73,text,true,,2283,445,100,100,https://blazedemo.com/,3788,0,2899
1708703708240,4508,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-58,,true,,2302,445,100,100,null,0,113,3493
1708703708352,4508,B_0-171,200,OK,Thread Group 1-58,text,true,,2302,445,100,100,https://blazedemo.com/,4508,0,3493
1708703709717,3029,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-89,,true,,2210,445,100,100,null,0,117,2007
